Precision Recall_train	
iteration_47_Precision	,6,1
iteration_47_Precision	,7,1
iteration_47_Recall	,0,0.953846
iteration_47_Recall	,1,1
iteration_47_Recall	,2,1
iteration_47_Recall	,3,0.976378
iteration_47_Recall	,4,0.996241
iteration_47_Recall	,5,1
iteration_47_Recall	,6,1
iteration_47_Recall	,7,1
iteration_48_Precision	,0,1
iteration_48_Precision	,1,0.985915
iteration_48_Precision	,2,1
iteration_48_Precision	,3,1
iteration_48_Precision	,4,1
iteration_48_Precision	,5,1
iteration_48_Precision	,6,1
iteration_48_Precision	,7,1
iteration_48_Recall	,0,0.969231
iteration_48_Recall	,1,1
iteration_48_Recall	,2,1
iteration_48_Recall	,3,0.984252
iteration_48_Recall	,4,0.996241
iteration_48_Recall	,5,1
iteration_48_Recall	,6,1
iteration_48_Recall	,7,1
iteration_49_Precision	,0,1
iteration_49_Precision	,1,0.988701
iteration_49_Precision	,2,1
iteration_49_Precision	,3,1
iteration_49_Precision	,4,1
iteration_49_Precision	,5,1
iteration_49_Precision	,6,1
iteration_49_Precision	,7,1
iteration_49_Recall	,0,0.984615
iteration_49_Recall	,1,1
iteration_49_Recall	,2,1
iteration_49_Recall	,3,0.984252
iteration_49_Recall	,4,0.996241
iteration_49_Recall	,5,1
iteration_49_Recall	,6,1
iteration_49_Recall	,7,1

